algo,dtype,N,mean,median,std,MB
EveryNth,<class 'numpy.float16'>,1000000,0.017395243048667908,0.01622140407562256,0.002887771849364812,2.0
EveryNth,<class 'numpy.float16'>,10000000,0.015540740319660731,0.014984235167503357,0.0014211949696633602,20.0
EveryNth,<class 'numpy.float16'>,20000000,0.015030907733099801,0.014382973313331604,0.001623677823637918,40.0
EveryNth,<class 'numpy.float16'>,50000000,0.0157541994537626,0.01432858407497406,0.0035039591270900365,100.0
EveryNth,<class 'numpy.float16'>,100000000,0.03277377358504704,0.031081587076187134,0.0032147811861815445,200.0
EveryNth,<class 'numpy.float16'>,200000000,0.012494197913578578,0.01190975308418274,0.0014714901721682974,400.0
EveryNth,<class 'numpy.float16'>,500000000,0.020239874720573425,0.01917406916618347,0.0022282995735095536,1000.0
EveryNth,<class 'numpy.float16'>,1000000000,0.01174701111657279,0.011162087321281433,0.001439538076157129,2000.0
EveryNth,<class 'numpy.float16'>,2000000000,0.03325646477086203,0.031701475381851196,0.003989071463647368,4000.0
EveryNth,<class 'numpy.float16'>,5000000000,0.012790997113500322,0.012122094631195068,0.0017011477660975544,10000.0
LTTB [TSD],<class 'numpy.float16'>,1000000,6.990497985056469,6.600801274180412,0.5734136309543215,2.0
LTTB [TSD],<class 'numpy.float16'>,10000000,58.73166264167854,59.95246767997742,2.364117004407714,20.0
LTTB [TSD],<class 'numpy.float16'>,20000000,114.25106999065194,111.88439279794693,5.702345937578796,40.0
LTTB [TSD],<class 'numpy.float16'>,50000000,281.826665731413,278.1134769320488,6.05189227113563,100.0
LTTB [TSD],<class 'numpy.float16'>,100000000,596.7196592794998,575.3968201577663,53.74054020194425,200.0
LTTB [TSD],<class 'numpy.float16'>,200000000,1099.097750868116,1098.4068736433983,2.2856649298644847,400.0
LTTB [TSD],<class 'numpy.float16'>,500000000,2807.9023239335843,2792.2577127814293,69.06829493663095,1000.0
LTTB [TSD],<class 'numpy.float16'>,1000000000,5607.544317362564,5614.581831172109,34.69994659351678,2000.0
LTTB [TSD],<class 'numpy.float16'>,2000000000,11114.762124099901,11112.074536830187,61.81869866449711,4000.0
LTTB [TSD],<class 'numpy.float16'>,5000000000,27588.188168406487,27538.22263069451,164.1072636341611,10000.0
M4,<class 'numpy.float16'>,1000000,0.5163640316043582,0.46705082058906555,0.08145854941371622,2.0
M4,<class 'numpy.float16'>,10000000,2.9926090900387083,2.9383432120084763,0.13455887268086883,20.0
M4,<class 'numpy.float16'>,20000000,5.9779559927327295,6.210270524024963,0.5150696478373539,40.0
M4,<class 'numpy.float16'>,50000000,13.790294368352209,13.422846049070358,1.0118380609077502,100.0
M4,<class 'numpy.float16'>,100000000,24.972018812383926,24.927984923124313,0.10240491715178898,200.0
M4,<class 'numpy.float16'>,200000000,50.10568382484572,49.78122152388096,0.6155119156535342,400.0
M4,<class 'numpy.float16'>,500000000,124.33794497379235,123.70893657207489,1.9818472594676206,1000.0
M4,<class 'numpy.float16'>,1000000000,254.1762256196567,255.1290474832058,2.3567180801107397,2000.0
M4,<class 'numpy.float16'>,2000000000,496.4448884129524,495.9100119769573,2.480985323634328,4000.0
M4,<class 'numpy.float16'>,5000000000,1232.668520190886,1234.2407550662756,8.436204866964585,10000.0
M4 (parallel),<class 'numpy.float16'>,1000000,0.56385908808027,0.4345037043094635,0.23027073897791872,2.0
M4 (parallel),<class 'numpy.float16'>,10000000,0.7221517818314689,0.5913332104682922,0.31815846045443064,20.0
M4 (parallel),<class 'numpy.float16'>,20000000,1.1020104799951826,1.0469600558280945,0.15296582175186826,40.0
M4 (parallel),<class 'numpy.float16'>,50000000,2.845845265047891,2.7746405452489853,0.1321236839865863,100.0
M4 (parallel),<class 'numpy.float16'>,100000000,4.971791271652494,4.943912476301193,0.06764858581100612,200.0
M4 (parallel),<class 'numpy.float16'>,200000000,9.40094238945416,9.345205500721931,0.11182096100115005,400.0
M4 (parallel),<class 'numpy.float16'>,500000000,22.780444685901916,22.722933068871498,0.12305334509401245,1000.0
M4 (parallel),<class 'numpy.float16'>,1000000000,44.764648218240055,44.607217609882355,0.28620571867131434,2000.0
M4 (parallel),<class 'numpy.float16'>,2000000000,88.82708884775639,88.77604156732559,0.1380141501159578,4000.0
M4 (parallel),<class 'numpy.float16'>,5000000000,221.01267240941525,220.99987380206585,0.09626012144149355,10000.0
MinMax,<class 'numpy.float16'>,1000000,0.42622845087732586,0.4291035234928131,0.014475574526050578,2.0
MinMax,<class 'numpy.float16'>,10000000,2.311833788241659,2.306804805994034,0.012115993204886098,20.0
MinMax,<class 'numpy.float16'>,20000000,7.051929192883628,7.080702111124992,0.18018282608147296,40.0
MinMax,<class 'numpy.float16'>,50000000,16.284001991152763,16.183583065867424,0.6378332034964156,100.0
MinMax,<class 'numpy.float16'>,100000000,35.26037037372589,34.48573648929596,1.4149125365578503,200.0
MinMax,<class 'numpy.float16'>,200000000,45.54405835058008,45.469799637794495,0.1943333185136325,400.0
MinMax,<class 'numpy.float16'>,500000000,131.7029181867838,129.0664855390787,8.934269294945835,1000.0
MinMax,<class 'numpy.float16'>,1000000000,250.72996249156338,250.2968400716782,1.851897626996015,2000.0
MinMax,<class 'numpy.float16'>,2000000000,462.6221981431757,462.0872560888529,2.9396307681761877,4000.0
MinMax,<class 'numpy.float16'>,5000000000,1156.1311629733868,1157.6122883707285,5.146935961927016,10000.0
MinMax (parallel),<class 'numpy.float16'>,1000000,0.6862631333725793,0.5520988255739212,0.2343500637750477,2.0
